0.0018,0.0076,0.0678,0.0189,0.0004,0.0003,0.0016,0.002
0.0022,0.0116,0.0661,0.0085,0.0004,0.0003,0.0013,0.0032
0.0042,0.0106,0.0619,0.0079,0.0004,0.0003,0.0022,0.002
0.0007,0.0056,0.0874,0.0172,0.0003,0.0003,0.0002,0.0018
0.0104,0.0085,0.0686,0.0173,0.0003,0.0002,0.0023,0.0028
0.0007,0.0078,0.0531,0.0264,0.0005,0.0002,0.0003,0.0028
0.0034,0.0045,0.0672,0.0224,0.0005,0.0003,0.0011,0.0021
0.0014,0.0075,1.054,0.0082,0.0006,0.0003,0.0006,0.0013
0.0042,0.0043,0.385,0.0179,0.0003,0.0002,0.0017,0.0019
0.009,0.0073,0.084,0.0166,0.0003,0.0002,0.0015,0.0018
