0.013,0.0274,1.7221,0.358,0.0007,0.0004,0.006,0.0171
0.0078,0.0239,1.6338,0.3561,0.0007,0.0005,0.0042,0.0232
0.0236,0.022,1.7773,0.1145,0.0008,0.0004,0.0142,0.0203
0.0159,0.0223,2.1155,21.3413,0.0011,0.0005,0.0411,0.0543
0.0218,0.0128,1.6481,0.3863,0.0011,0.0004,21.2867,0.0447
0.0169,0.0247,23.5327,0.1278,0.0009,0.0006,0.0303,0.0351
0.0034,0.426,22.8961,0.133,0.0008,0.0004,0.0043,0.0484
0.0296,0.0177,1.6042,0.2928,0.0006,0.0002,0.0077,0.0108
0.0019,0.0194,1.7311,21.5116,0.0009,0.0007,0.0037,0.0632
0.0191,0.0304,1.7544,0.1066,0.0007,0.0003,0.0255,0.0182
