0.0769,17745.831,17.836,0.0009,0.0002,0.008,0.1272
0.2098,17922.1537,22.2989,0.0026,0.0019,0.1308,0.7654
0.0395,17040.2664,1.8878,0.0004,0.0001,0.0016,0.0658
0.3424,7127.2271,1.653,0.0006,0.0002,0.0557,0.0768
0.2124,4599.252,1.559,0.0005,0.0002,0.0351,0.0632
0.0408,3740.1083,1.6941,0.0006,0.0003,0.0046,0.0672
0.1535,3282.1665,1.5578,0.0006,0.0002,0.0324,0.0577
0.0397,3481.7519,1.6012,0.0006,0.0001,0.0063,0.0574
0.0329,3218.134,1.6812,0.0006,0.0002,0.0086,0.0954
0.0886,3486.7457,1.6736,0.0007,0.0001,0.0353,0.0601
0.1096,3479.581,1.6241,0.0006,0.0002,0.0255,0.0627
0.1614,3346.2174,1.6733,0.0006,0.0002,0.0491,0.072
0.0659,3418.7145,1.6402,0.0006,0.0003,0.0114,0.0591
0.0369,3442.3023,1.6617,0.0007,0.0002,0.0072,0.0726
0.1508,3480.6874,1.5945,0.0006,0.0004,0.0327,0.0576
0.0762,3552.86,1.6371,0.0006,0.0005,0.0199,0.065
0.0423,3466.072,1.7438,0.0007,0.0002,0.0078,0.0629
0.2389,3270.9493,1.7864,0.0005,0.0001,0.1335,0.0686
0.0505,3630.5211,1.6344,0.0006,0.0003,0.012,0.0592
0.1794,3426.7502,1.9444,0.0009,0.0003,0.0554,0.1014
0.1803,3373.7341,1.6547,0.0006,0.0002,0.0384,0.0666
0.1094,4058.3632,1.7765,0.0005,0.0001,0.0185,0.0821
0.0014,3416.876,1.6323,0.0005,0.0002,0.0003,0.0672
0.0091,3542.5575,1.6823,0.0005,0.0002,0.0014,0.0616
0.0961,3309.509,1.6362,0.0006,0.0003,0.0222,0.0658
0.0303,3628.501,1.6236,0.0005,0.0003,0.0043,0.0576
0.0408,3433.422,1.6715,0.0008,0.0002,0.0134,0.0695
0.2012,3551.7346,1.6717,0.0006,0.0001,0.0618,0.0687
0.2114,4046.1728,1.8314,0.0007,0.0005,0.0698,0.0945
0.2006,3213.7951,1.5783,0.0005,0.0002,0.0523,0.0565
0.2471,4049.1219,1.8557,0.0007,0.0002,0.0711,0.0812
0.0729,3206.6835,1.5737,0.0006,0.0001,0.0146,0.0579
0.1306,3484.379,1.6199,0.0005,0.0003,0.0253,0.0569
0.0413,3481.1374,1.6055,0.0006,0.0002,0.007,0.0576
0.0819,4215.0005,1.8908,0.0007,0.0002,0.0349,0.0881
0.0486,3233.7965,1.5433,0.0006,0.0002,0.0114,0.0547
0.1991,3535.2848,4.1193,0.0006,0.0002,0.118,0.1483
0.1812,3485.2223,1.5463,0.0006,0.0002,0.0585,0.0599
0.1367,4753.2344,1.8822,0.0006,0.0002,0.0492,0.0841
0.3906,3730.2791,1.5283,0.0005,0.0003,0.0506,0.0562
0.2419,4491.6491,1.7795,0.0006,0.0001,0.0646,0.0794
0.188,3254.0994,1.5993,0.0007,0.0002,0.038,0.0575
0.1417,4016.0926,1.8383,0.0005,0.0002,0.0361,0.0853
0.0351,3205.1104,1.7365,0.0009,0.0002,0.005,0.0634
0.1779,4314.3793,1.8714,0.0006,0.0002,0.0493,0.085
0.0271,3332.7584,1.6325,0.0006,0.0002,0.0048,0.0576
0.1717,4381.1068,1.9547,0.0007,0.0002,0.0609,0.0958
0.0529,3423.355,1.6166,0.0005,0.0002,0.0264,0.0588
0.0803,3359.855,1.7434,0.0005,0.0002,0.0314,0.0715
0.0055,3295.7272,1.585,0.0005,0.0002,0.0018,0.0677
0.1858,4033.9641,1.817,0.0005,0.0002,0.0579,0.0813
0.0623,3316.8295,1.6083,0.0004,0.0003,0.0149,0.0619
0.1353,4369.7836,2.0497,0.0007,0.0002,0.0443,0.1128
0.1199,3229.6919,1.6665,0.0006,0.0002,0.0328,0.0629
0.4215,4315.2631,1.9793,0.0006,0.0002,0.0716,0.0865
0.0205,3220.9855,1.7298,0.0006,0.0003,0.0055,0.0699
0.1638,4104.1833,1.7963,0.0004,0.0002,0.0378,0.0804
0.1255,3223.5311,1.5758,0.0006,0.0002,0.0228,0.0573
0.1113,4286.8838,3.4334,0.0006,0.0003,0.0788,0.1801
0.1141,3003.6898,1.5381,0.0005,0.0002,0.0275,0.0561
0.1004,3483.4858,1.8163,0.0007,0.0003,0.0671,0.0753
0.2153,3622.4204,1.5623,0.0005,0.0001,0.0395,0.0593
0.2817,4368.728,1.8339,0.0006,0,0.0498,0.0827
0.2027,3456.1077,1.5997,0.0004,0.0002,0.0291,0.0597
0.0539,4296.5701,1.8815,0.0009,0.0002,0.0156,0.0842
0.1296,3836.8082,1.6562,0.0007,0.0004,0.0333,0.0658
0.1031,4171.4196,1.8247,0.0007,0.0002,0.0308,0.0816
