0.0468,0.1372,915.1017,4.4376,0.0027,0.0033,0.0638,0.1925
0.0662,0.114,897.3689,4.3688,0.0029,0.002,0.0596,0.1589
0.0723,0.0887,753.8565,28.3503,0.0044,0.0034,0.1177,0.255
0.1318,0.0517,661.7287,12.0142,0.0052,0.0025,0.1993,0.1346
0.095,0.1064,1040.032,1.5712,0.0036,0.0014,0.0712,0.0988
0.0169,0.1302,913.677,4.1531,0.0032,0.0026,0.0203,0.1949
0.2163,0.2952,1100.1788,1.5496,0.0028,0.0012,0.0676,0.1443
0.1159,0.1222,1305.0721,1.6015,0.0024,0.0017,0.0357,0.0798
0.0815,0.1609,783.4021,5.0625,0.0044,0.0024,0.0783,0.1824
0.1894,0.093,999.9118,1.5898,0.0034,0.002,0.1142,0.108
