0.0666,1.468,64961.1203,18.8927,0.0034,0.0015,0.0357,3.2892
1.0426,1.0808,61527.6403,14.4993,0.007,0.0011,1.0299,1.7437
0.6776,22.7475,69071.4218,13.0936,0.0032,0.001,0.4854,1.3617
0.5671,0.6489,69871.6482,11.3441,0.0033,0.0011,0.7811,1.2472
0.0016,1.3189,65938.0009,15.3053,0.0027,0.0014,0.0002,1.8493
0.1887,0.6716,68348.7618,13.7676,0.0032,0.0017,0.3025,1.494
0.5768,0.5104,63551.6407,15.6264,0.0062,0.001,1.6552,1.7745
1.1214,1.0298,65659.9856,14.705,0.0035,0.001,1.7742,1.8643
1.5827,1.35,49561.7631,14.9152,0.0047,0.0011,1.771,1.9198
0.9344,1.3433,50495.5274,14.8288,0.0045,0.001,1.5074,1.772
