0.2712,0.4393,17213.0465,6.459,0.0063,0.0351,0.4647,0.928
0.3155,0.3999,17343.1219,4.0955,0.004,0.0024,0.1246,0.5611
0.3472,0.3411,17662.9721,5.1087,0.0069,0.0446,0.4039,0.4991
0.3881,0.3951,17873.4281,5.0668,0.0029,0.0007,0.4887,0.5629
0.2545,0.3235,18540.2724,6.9899,0.0053,0.0008,0.3822,0.8452
0.1715,0.3798,19613.7812,18.1974,0.0035,0.0017,0.2327,0.9341
1.6089,1.0208,15655.5959,7.2158,0.0073,0.0026,1.0942,1.0525
0.2964,1.063,15871.9538,6.8155,0.0047,0.0044,0.1849,0.8478
0.208,0.7236,18866.8236,7.0937,0.0019,0.0011,0.1359,0.8465
0.3688,0.8028,19016.637,5.0016,0.0015,0.0007,0.1365,0.5933
