0.1533,0.0003,0.2618,0.5183,0.1206,0.0003,0.0002,0.0001
0.1626,0.0004,0.2511,0.6722,0.0114,0.0019,0.0003,0.0002
0.1376,0.0006,0.2063,0.7057,0.1376,0.0001,0.0001,0.0001
0.1542,0.0004,0.2577,0.6036,0.1392,0.0002,0.0001,0.0004
0.1616,0.0004,0.2473,0.5917,0.1308,0.0002,0.0003,0.0002
0.1388,0.0006,0.2006,0.7366,0.139,0.0002,0.0002,0.0002
0.1774,0.0004,0.2564,0.5684,0.1367,0.0001,0.0002,0.0001
0.1572,0.0004,0.2467,0.6719,0.0051,0.0033,0.0003,0.0002
0.1927,0.0006,0.2456,0.6585,0.1397,0.0002,0.0001,0.0001
0.1107,0.0006,0.2152,0.6329,0.1211,0.0003,0.0001,0.0003
